Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : path, 		Predicted : path, 		Log of likelihood : -57.01
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : path, 		Predicted : path, 		Log of likelihood : -56.79
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : window, 		Predicted : window, 		Log of likelihood : -55.34
Expected : window, 		Predicted : window, 		Log of likelihood : -65.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.72
Expected : window, 		Predicted : window, 		Log of likelihood : -65.20
Expected : window, 		Predicted : window, 		Log of likelihood : -55.80
Expected : window, 		Predicted : path, 		Log of likelihood : -58.53
Expected : window, 		Predicted : window, 		Log of likelihood : -57.44
Expected : path, 		Predicted : path, 		Log of likelihood : -79.34
Expected : path, 		Predicted : path, 		Log of likelihood : -60.31
Expected : window, 		Predicted : window, 		Log of likelihood : -56.81
Expected : path, 		Predicted : path, 		Log of likelihood : -54.95
Expected : window, 		Predicted : window, 		Log of likelihood : -56.34
Expected : path, 		Predicted : path, 		Log of likelihood : -52.54
Expected : window, 		Predicted : window, 		Log of likelihood : -57.36
Expected : path, 		Predicted : path, 		Log of likelihood : -54.36
Expected : window, 		Predicted : window, 		Log of likelihood : -61.01
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -54.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.42
Expected : window, 		Predicted : window, 		Log of likelihood : -60.71
Expected : path, 		Predicted : path, 		Log of likelihood : -63.77
Expected : window, 		Predicted : window, 		Log of likelihood : -65.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.19
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : path, 		Predicted : path, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -56.50
Expected : window, 		Predicted : window, 		Log of likelihood : -56.98
Expected : path, 		Predicted : path, 		Log of likelihood : -58.23
Expected : path, 		Predicted : path, 		Log of likelihood : -57.72
Expected : window, 		Predicted : window, 		Log of likelihood : -55.28
Expected : path, 		Predicted : path, 		Log of likelihood : -53.70
Expected : window, 		Predicted : window, 		Log of likelihood : -56.47
Expected : window, 		Predicted : window, 		Log of likelihood : -66.21
Expected : window, 		Predicted : window, 		Log of likelihood : -55.69
Expected : window, 		Predicted : window, 		Log of likelihood : -59.59
Expected : window, 		Predicted : window, 		Log of likelihood : -55.56
Expected : window, 		Predicted : window, 		Log of likelihood : -56.95
Expected : window, 		Predicted : window, 		Log of likelihood : -62.80
Expected : path, 		Predicted : path, 		Log of likelihood : -54.80
Expected : path, 		Predicted : path, 		Log of likelihood : -54.99
Expected : path, 		Predicted : path, 		Log of likelihood : -54.53
Expected : path, 		Predicted : path, 		Log of likelihood : -58.25
Expected : window, 		Predicted : window, 		Log of likelihood : -55.94
Expected : path, 		Predicted : path, 		Log of likelihood : -57.86
Expected : window, 		Predicted : window, 		Log of likelihood : -60.03
Expected : window, 		Predicted : window, 		Log of likelihood : -60.27
Expected : path, 		Predicted : path, 		Log of likelihood : -56.11
Expected : path, 		Predicted : path, 		Log of likelihood : -58.26
Expected : window, 		Predicted : window, 		Log of likelihood : -58.46
Expected : window, 		Predicted : window, 		Log of likelihood : -55.04
Expected : window, 		Predicted : window, 		Log of likelihood : -56.97
Expected : window, 		Predicted : window, 		Log of likelihood : -57.38
Expected : path, 		Predicted : window, 		Log of likelihood : -69.89
Expected : path, 		Predicted : path, 		Log of likelihood : -54.81
Expected : path, 		Predicted : path, 		Log of likelihood : -54.60
Expected : window, 		Predicted : window, 		Log of likelihood : -60.45
Expected : window, 		Predicted : window, 		Log of likelihood : -57.03
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : path, 		Predicted : path, 		Log of likelihood : -55.79
Expected : window, 		Predicted : window, 		Log of likelihood : -57.71
Expected : window, 		Predicted : window, 		Log of likelihood : -58.89
Expected : path, 		Predicted : path, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -57.40
Expected : path, 		Predicted : path, 		Log of likelihood : -54.88
Expected : path, 		Predicted : path, 		Log of likelihood : -54.20
Expected : path, 		Predicted : path, 		Log of likelihood : -55.49
Expected : path, 		Predicted : path, 		Log of likelihood : -54.61
Expected : path, 		Predicted : path, 		Log of likelihood : -53.71
Expected : window, 		Predicted : window, 		Log of likelihood : -120.54
Expected : window, 		Predicted : window, 		Log of likelihood : -66.28
Expected : path, 		Predicted : path, 		Log of likelihood : -56.45
Expected : path, 		Predicted : path, 		Log of likelihood : -61.78
Expected : path, 		Predicted : path, 		Log of likelihood : -55.29
Expected : window, 		Predicted : window, 		Log of likelihood : -57.14
Expected : path, 		Predicted : path, 		Log of likelihood : -55.47
Expected : window, 		Predicted : window, 		Log of likelihood : -61.75
Expected : path, 		Predicted : path, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -57.24
Expected : path, 		Predicted : path, 		Log of likelihood : -55.37
Expected : path, 		Predicted : path, 		Log of likelihood : -54.94
Expected : path, 		Predicted : path, 		Log of likelihood : -54.56
Expected : window, 		Predicted : window, 		Log of likelihood : -60.79
Expected : window, 		Predicted : window, 		Log of likelihood : -66.06
Expected : window, 		Predicted : window, 		Log of likelihood : -55.51
Expected : path, 		Predicted : path, 		Log of likelihood : -54.74
Expected : path, 		Predicted : path, 		Log of likelihood : -89.23
Expected : window, 		Predicted : window, 		Log of likelihood : -59.35
Expected : window, 		Predicted : window, 		Log of likelihood : -55.56
Expected : window, 		Predicted : window, 		Log of likelihood : -56.92
Expected : window, 		Predicted : window, 		Log of likelihood : -76.01
Expected : path, 		Predicted : path, 		Log of likelihood : -55.18
Expected : window, 		Predicted : window, 		Log of likelihood : -57.81
Expected : path, 		Predicted : path, 		Log of likelihood : -55.07
Expected : path, 		Predicted : path, 		Log of likelihood : -57.25
Expected : path, 		Predicted : path, 		Log of likelihood : -54.70
Expected : window, 		Predicted : window, 		Log of likelihood : -55.93
Expected : path, 		Predicted : path, 		Log of likelihood : -57.01
Expected : window, 		Predicted : window, 		Log of likelihood : -57.17
Expected : path, 		Predicted : path, 		Log of likelihood : -56.79
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : window, 		Predicted : window, 		Log of likelihood : -55.34
Expected : window, 		Predicted : window, 		Log of likelihood : -65.45
Expected : path, 		Predicted : path, 		Log of likelihood : -56.72
Expected : window, 		Predicted : window, 		Log of likelihood : -65.20
Expected : window, 		Predicted : window, 		Log of likelihood : -55.80
Expected : window, 		Predicted : path, 		Log of likelihood : -58.53
Expected : window, 		Predicted : window, 		Log of likelihood : -57.44
Expected : path, 		Predicted : path, 		Log of likelihood : -79.34
Expected : path, 		Predicted : path, 		Log of likelihood : -60.31
Expected : window, 		Predicted : window, 		Log of likelihood : -56.81
Expected : path, 		Predicted : path, 		Log of likelihood : -54.95
Expected : window, 		Predicted : window, 		Log of likelihood : -56.34
Expected : path, 		Predicted : path, 		Log of likelihood : -52.54
Expected : window, 		Predicted : window, 		Log of likelihood : -57.36
Expected : path, 		Predicted : path, 		Log of likelihood : -54.36
Expected : window, 		Predicted : window, 		Log of likelihood : -61.01
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : path, 		Predicted : path, 		Log of likelihood : -54.43
Expected : window, 		Predicted : window, 		Log of likelihood : -57.42
Expected : window, 		Predicted : window, 		Log of likelihood : -60.71
Expected : path, 		Predicted : path, 		Log of likelihood : -63.77
Expected : window, 		Predicted : window, 		Log of likelihood : -65.95
Expected : path, 		Predicted : path, 		Log of likelihood : -57.19
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : path, 		Predicted : path, 		Log of likelihood : -56.74
Expected : path, 		Predicted : path, 		Log of likelihood : -56.50
Expected : window, 		Predicted : window, 		Log of likelihood : -56.98
Expected : path, 		Predicted : path, 		Log of likelihood : -58.23
Expected : path, 		Predicted : path, 		Log of likelihood : -57.72
Expected : window, 		Predicted : window, 		Log of likelihood : -55.28
Expected : path, 		Predicted : path, 		Log of likelihood : -53.70
Expected : window, 		Predicted : window, 		Log of likelihood : -56.47
Expected : window, 		Predicted : window, 		Log of likelihood : -66.21
Expected : window, 		Predicted : window, 		Log of likelihood : -55.69
Expected : window, 		Predicted : window, 		Log of likelihood : -59.59
Expected : window, 		Predicted : window, 		Log of likelihood : -55.56
Expected : window, 		Predicted : window, 		Log of likelihood : -56.95
Expected : window, 		Predicted : window, 		Log of likelihood : -62.80
Expected : path, 		Predicted : path, 		Log of likelihood : -54.80
Expected : path, 		Predicted : path, 		Log of likelihood : -54.99
Expected : path, 		Predicted : path, 		Log of likelihood : -54.53
Expected : path, 		Predicted : path, 		Log of likelihood : -58.25
Expected : window, 		Predicted : window, 		Log of likelihood : -55.94
Expected : path, 		Predicted : path, 		Log of likelihood : -57.86
Expected : window, 		Predicted : window, 		Log of likelihood : -60.03
Expected : window, 		Predicted : window, 		Log of likelihood : -60.27
Expected : path, 		Predicted : path, 		Log of likelihood : -56.11
Expected : path, 		Predicted : path, 		Log of likelihood : -58.26
Expected : window, 		Predicted : window, 		Log of likelihood : -58.46
Expected : window, 		Predicted : window, 		Log of likelihood : -55.04
Expected : window, 		Predicted : window, 		Log of likelihood : -56.97
Expected : window, 		Predicted : window, 		Log of likelihood : -57.38
Expected : path, 		Predicted : window, 		Log of likelihood : -69.89
Expected : path, 		Predicted : path, 		Log of likelihood : -54.81
Expected : path, 		Predicted : path, 		Log of likelihood : -54.60
Expected : window, 		Predicted : window, 		Log of likelihood : -60.45
Expected : window, 		Predicted : window, 		Log of likelihood : -57.03
Expected : window, 		Predicted : window, 		Log of likelihood : -56.67
Expected : path, 		Predicted : path, 		Log of likelihood : -55.79
Expected : window, 		Predicted : window, 		Log of likelihood : -57.71
Expected : window, 		Predicted : window, 		Log of likelihood : -58.89
Expected : path, 		Predicted : path, 		Log of likelihood : -55.84
Expected : window, 		Predicted : window, 		Log of likelihood : -57.40
Expected : path, 		Predicted : path, 		Log of likelihood : -54.88


Era 8
Expected : path, 		Predicted : path, 		Log of likelihood : -54.59
Expected : window, 		Predicted : window, 		Log of likelihood : -55.73
Expected : window, 		Predicted : window, 		Log of likelihood : -56.49
Expected : window, 		Predicted : window, 		Log of likelihood : -59.12
Expected : window, 		Predicted : window, 		Log of likelihood : -55.56
Expected : path, 		Predicted : path, 		Log of likelihood : -65.17
Expected : path, 		Predicted : path, 		Log of likelihood : -58.33
Expected : window, 		Predicted : window, 		Log of likelihood : -58.74
Expected : window, 		Predicted : window, 		Log of likelihood : -59.38
Expected : window, 		Predicted : window, 		Log of likelihood : -61.95
Expected : path, 		Predicted : path, 		Log of likelihood : -55.56
Expected : window, 		Predicted : window, 		Log of likelihood : -55.52
Expected : window, 		Predicted : window, 		Log of likelihood : -56.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.38
Expected : window, 		Predicted : window, 		Log of likelihood : -55.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.73
Expected : window, 		Predicted : window, 		Log of likelihood : -60.54
Expected : path, 		Predicted : path, 		Log of likelihood : -61.48
Expected : window, 		Predicted : window, 		Log of likelihood : -57.93
Expected : path, 		Predicted : path, 		Log of likelihood : -58.83
Expected : window, 		Predicted : window, 		Log of likelihood : -58.39
Expected : path, 		Predicted : path, 		Log of likelihood : -56.28
Expected : window, 		Predicted : window, 		Log of likelihood : -58.41
Expected : path, 		Predicted : path, 		Log of likelihood : -58.10
Expected : path, 		Predicted : window, 		Log of likelihood : -69.43
Expected : window, 		Predicted : window, 		Log of likelihood : -61.30
Expected : path, 		Predicted : path, 		Log of likelihood : -55.66
Expected : path, 		Predicted : path, 		Log of likelihood : -58.76
Expected : window, 		Predicted : path, 		Log of likelihood : -56.23
Expected : path, 		Predicted : path, 		Log of likelihood : -56.17
